,output
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,2
9,0
10,2
11,1
12,1
13,1
14,2
15,1
16,1
18,1
19,1
20,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,2
30,1
32,0
33,1
35,1
37,0
38,0
39,1
40,0
41,1
42,0
43,2
44,0
45,1
46,1
47,1
48,1
49,0
52,1
53,1
54,2
55,1
57,2
59,2
60,0
61,1
62,1
64,1
65,1
66,0
67,0
68,0
69,2
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,2
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
115,0
116,0
117,0
118,1
119,1
120,2
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
132,1
133,1
134,0
135,0
137,2
138,1
139,1
140,0
141,0
143,1
144,1
146,2
148,1
150,0
152,1
154,0
155,0
156,1
159,0
160,2
161,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
178,0
179,0
181,2
182,0
183,0
184,1
185,0
186,1
187,0
189,1
190,1
191,1
192,1
194,1
195,0
196,0
197,0
198,0
199,0
201,2
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,1
214,1
215,0
217,1
218,0
219,1
220,1
222,0
223,1
224,2
225,0
226,0
228,1
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,2
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
252,0
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,0
263,1
264,1
265,1
266,0
268,0
269,1
271,1
274,1
277,1
278,2
280,1
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
306,0
307,0
308,0
310,1
311,2
312,1
313,1
314,1
315,1
316,1
318,1
319,0
320,1
322,0
323,1
326,2
327,0
329,1
330,0
331,1
332,1
333,2
334,2
335,1
337,2
338,0
339,0
341,1
342,0
343,1
346,0
347,1
349,1
351,1
352,0
354,1
355,0
356,1
357,0
359,0
360,0
361,1
362,0
363,1
364,0
365,0
366,1
368,0
370,0
371,1
372,1
373,1
375,0
376,1
377,0
378,1
379,1
380,1
381,2
382,0
383,1
384,0
385,2
387,1
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,2
410,1
411,0
412,1
413,1
414,2
415,2
416,1
417,1
418,0
419,1
420,1
421,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,1
437,1
438,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,2
450,0
451,0
452,1
454,1
455,0
456,0
457,0
458,1
459,0
460,1
461,1
462,0
463,1
464,0
466,1
467,1
468,1
469,1
471,1
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,0
495,1
496,1
497,2
499,1
501,0
502,0
503,1
505,1
506,1
507,0
508,0
513,0
516,1
517,0
518,2
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,1
530,1
531,2
532,0
533,1
534,0
535,0
536,1
537,0
538,2
539,0
543,1
544,0
546,1
547,1
548,1
549,0
550,1
551,1
552,1
554,1
555,1
556,1
558,1
559,2
560,1
561,1
562,1
564,1
565,2
566,1
568,1
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,2
577,1
579,1
580,1
582,1
583,2
584,1
585,1
587,1
588,1
591,0
593,0
594,0
595,0
596,1
597,1
599,1
600,0
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,1
612,1
613,1
615,1
616,0
617,1
619,1
620,2
621,1
623,1
624,1
625,1
626,0
628,1
631,0
633,1
635,0
636,1
637,1
638,2
639,1
641,1
642,1
643,1
644,1
645,1
647,1
648,1
649,1
651,0
652,1
653,1
654,1
655,1
657,1
658,1
659,1
661,0
662,1
663,0
664,0
666,1
671,1
672,1
673,0
674,1
675,1
676,2
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,0
690,0
691,1
692,0
693,1
695,1
696,1
697,0
699,1
700,2
701,2
702,2
703,0
704,0
705,0
706,0
708,1
709,0
710,0
711,0
712,0
716,1
717,2
718,0
720,0
722,0
725,2
726,2
727,0
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,0
744,0
745,0
747,1
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,1
756,0
757,0
758,1
759,0
760,1
761,0
763,1
764,0
765,0
766,1
767,0
768,0
770,1
771,1
772,2
773,0
774,0
776,0
777,1
778,1
779,0
780,0
781,0
783,0
784,1
785,1
787,1
788,1
789,1
790,0
791,0
792,2
794,0
795,1
796,0
797,1
799,0
800,1
801,1
802,1
803,0
804,2
805,1
807,1
810,1
811,0
812,2
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,2
822,1
823,1
824,0
826,1
827,2
828,0
829,0
833,1
834,1
835,1
836,0
837,1
838,1
839,2
840,1
843,1
844,2
846,0
847,0
848,2
849,0
850,1
852,1
853,0
854,1
855,1
856,0
857,1
858,0
859,1
860,1
861,1
862,1
863,0
865,1
866,2
867,0
868,0
870,0
871,1
872,1
873,1
874,1
875,2
876,1
877,1
878,1
880,0
881,1
883,1
884,0
885,0
887,2
888,1
890,1
891,1
892,1
893,0
896,0
897,1
898,1
899,1
900,1
901,1
902,2
903,0
904,1
905,2
907,0
908,1
909,1
910,1
914,1
915,1
916,2
917,1
918,1
919,1
920,2
922,1
923,1
924,1
925,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
935,0
936,0
938,1
939,1
940,0
941,1
942,1
945,1
947,0
948,1
949,1
950,0
951,0
952,0
953,0
954,0
956,1
958,0
959,2
960,1
961,1
962,2
963,0
964,1
965,1
966,1
967,1
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,0
976,1
977,1
978,0
980,0
982,1
983,1
984,0
985,0
986,1
988,0
989,1
990,0
991,0
993,0
994,1
995,1
997,0
998,1
1001,1
1002,2
1005,2
1006,1
1007,1
1008,1
1009,1
1010,0
1011,2
1012,0
1013,0
1014,0
1015,0
1016,2
1017,1
1018,1
1019,0
1021,1
1022,0
1023,1
1024,0
1025,0
1026,0
1027,1
1028,1
1029,1
1030,0
1031,2
1032,1
1033,1
1034,0
1035,1
1036,1
1037,1
1039,0
1041,1
1043,1
1044,2
1046,0
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1054,0
1055,1
1057,1
1058,2
1059,1
1060,0
1061,0
1062,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,1
1072,1
1073,0
1074,0
1075,2
1076,1
1077,0
1078,2
1079,1
1081,1
1082,1
1083,1
1084,1
1085,0
1087,1
1088,0
1090,0
1092,1
1093,0
1094,1
1095,1
1096,1
1097,1
1100,1
1101,1
1102,2
1103,1
1104,1
1106,1
1107,0
1110,2
1112,0
1113,1
1115,1
1117,1
1118,0
1119,0
1120,0
1122,0
1123,0
1124,1
1125,0
1126,1
1128,2
1129,1
1131,1
1133,0
1134,1
1136,1
1137,0
1138,1
1140,1
1141,2
1143,0
1144,0
1145,1
1146,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,1
1157,2
1158,1
1159,1
1160,1
1161,0
1162,1
1163,2
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,0
1174,1
1176,1
1178,1
1179,2
1182,1
1183,0
1184,1
1185,1
1187,0
1188,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,0
1201,0
1202,0
1204,0
1205,1
1207,0
1208,1
1209,1
1210,2
1212,2
1213,1
1214,1
1215,0
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,1
1225,1
1226,1
1228,1
1229,0
1230,1
1231,1
1233,0
1234,1
1235,1
1236,1
1238,0
1239,1
1241,1
1242,1
1243,2
1244,1
1245,1
1246,1
1247,1
1248,0
1249,1
1252,0
1253,0
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1261,1
1262,1
1263,0
1264,2
1265,1
1266,0
1267,1
1268,1
1269,0
1270,0
1271,0
1272,1
1274,1
1277,0
1278,0
1279,0
1281,1
1282,1
1283,1
1285,1
1286,1
1287,0
1288,0
1289,1
1291,0
1293,2
1295,1
1296,1
1297,2
1298,0
1299,1
1301,0
1302,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,0
1310,0
1311,1
1312,0
1313,0
1314,1
1315,0
1317,1
1318,1
1319,0
1321,1
1323,1
1324,0
1325,1
1326,1
1327,1
1329,1
1330,0
1331,0
1333,1
1334,1
1336,0
1338,1
1339,1
1340,2
1341,1
1343,1
1344,0
1345,0
1346,0
1347,1
1348,1
1349,0
1350,1
1352,1
1355,0
1356,1
1357,0
1358,1
1359,1
1360,1
1361,2
1362,0
1363,1
1364,0
1365,0
1367,1
1368,1
1369,1
1370,0
1371,1
1372,1
1373,0
1374,1
1375,0
1376,1
1377,1
1378,0
1379,1
1381,1
1382,1
1384,0
1385,0
1386,1
1387,0
1388,1
1389,1
1390,0
1391,1
1395,0
1396,1
1397,1
1398,2
1399,2
1400,0
1401,1
1402,1
1403,2
1405,0
1407,1
1411,1
1412,1
1413,1
1416,0
1417,1
1418,0
1419,1
1420,1
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,2
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,0
1438,0
1439,1
1440,1
1441,0
1442,1
1444,1
1445,1
1446,0
1447,1
1449,1
1451,0
1452,1
1453,0
1454,1
1456,2
1457,0
1459,0
1460,0
1461,0
1462,0
1463,1
1464,1
1465,1
1467,0
1468,1
1469,1
